,Name,origin,tcrm2,lambda,gamma,Improve
0,ArticularyWordRecognition,0.987,0.990,0.500,0.500,0.003
1,AtrialFibrillation,0.333,0.333,0.750,0.500,0.000
2,BasicMotions,1.000,1.000,0.500,0.500,0.000
3,CharacterTrajectories,0.995,0.997,0.750,1.000,0.001
4,Cricket,0.986,0.986,0.500,0.500,0.000
5,DuckDuckGeese,0.640,0.640,0.750,0.500,0.000
6,EigenWorms,0.931,0.931,0.500,0.500,0.000
7,Epilepsy,0.971,0.978,0.500,0.500,0.007
8,EthanolConcentration,0.224,0.247,0.750,0.500,0.023
9,ERing,0.911,0.937,0.500,0.500,0.026
10,FaceDetection,0.680,0.686,0.500,0.000,0.005
11,FingerMovements,0.560,0.580,0.250,0.500,0.020
12,HandMovementDirection,0.405,0.446,0.750,0.500,0.041
13,Handwriting,0.668,0.693,0.500,0.500,0.025
14,Heartbeat,0.751,0.785,0.500,0.500,0.034
15,InsectWingbeat,0.656,0.658,0.000,0.000,0.002
16,JapaneseVowels,0.978,0.981,0.500,0.500,0.003
17,Libras,0.917,0.944,0.500,0.500,0.028
18,LSST,0.588,0.589,0.500,0.500,0.002
19,MotorImagery,0.500,0.490,0.250,0.000,-0.010
20,NATOPS,0.983,0.978,0.500,0.500,-0.006
21,PenDigits,0.985,0.985,0.000,1.000,0.000
22,PEMS-SF,0.815,0.821,0.000,0.500,0.006
23,PhonemeSpectra,0.307,0.320,0.500,0.500,0.013
24,RacketSports,0.895,0.901,0.500,0.500,0.007
25,SelfRegulationSCP1,0.836,0.881,0.500,0.500,0.044
26,SelfRegulationSCP2,0.517,0.528,0.000,1.000,0.011
27,SpokenArabicDigits,0.993,0.996,0.500,0.500,0.003
28,StandWalkJump,0.400,0.533,0.750,0.000,0.133
29,UWaveGestureLibrary,0.903,0.916,0.750,1.000,0.013
