,Name,origin,tcrm2,lambda,gamma,Improve
0,ArticularyWordRecognition,0.990,0.993,0.250,1.000,0.003
1,AtrialFibrillation,0.267,0.267,0.000,0.500,0.000
2,BasicMotions,1.000,1.000,0.500,0.500,0.000
3,CharacterTrajectories,0.997,0.997,0.000,1.000,0.000
4,Cricket,1.000,1.000,0.500,0.500,0.000
5,DuckDuckGeese,0.580,0.600,0.750,0.500,0.020
6,EigenWorms,0.901,0.908,0.500,0.500,0.008
7,Epilepsy,0.971,0.978,0.500,0.500,0.007
8,EthanolConcentration,0.270,0.285,0.000,1.000,0.015
9,ERing,0.919,0.956,0.500,0.500,0.037
10,FaceDetection,0.585,0.586,0.500,0.500,0.001
11,FingerMovements,0.570,0.610,0.500,0.500,0.040
12,HandMovementDirection,0.500,0.514,0.500,0.500,0.014
13,Handwriting,0.659,0.674,0.250,0.500,0.015
14,Heartbeat,0.761,0.771,0.500,0.500,0.010
15,InsectWingbeat,0.671,0.676,0.500,0.500,0.004
16,JapaneseVowels,0.992,0.995,0.000,0.000,0.003
17,Libras,0.939,0.950,0.250,0.000,0.011
18,LSST,0.612,0.649,0.000,0.000,0.037
19,MotorImagery,0.540,0.550,0.500,0.500,0.010
20,NATOPS,0.967,0.972,0.500,0.500,0.006
21,PenDigits,0.981,0.983,0.000,1.000,0.002
22,PEMS-SF,0.757,0.775,0.000,1.000,0.017
23,PhonemeSpectra,0.304,0.305,0.000,0.000,0.001
24,RacketSports,0.888,0.901,0.750,1.000,0.013
25,SelfRegulationSCP1,0.833,0.894,0.500,0.500,0.061
26,SelfRegulationSCP2,0.506,0.528,0.500,0.500,0.022
27,SpokenArabicDigits,0.994,0.995,0.000,0.500,0.001
28,StandWalkJump,0.400,0.467,0.500,0.000,0.067
29,UWaveGestureLibrary,0.916,0.922,0.000,0.500,0.006
