,Name,origin,tcrm2,lambda,gamma,Improve
0,ArticularyWordRecognition,0.983,0.987,0.500,0.500,0.003
1,AtrialFibrillation,0.200,0.267,0.250,0.000,0.067
2,BasicMotions,1.000,1.000,0.500,0.500,0.000
3,CharacterTrajectories,0.996,0.997,0.000,1.000,0.001
4,Cricket,0.972,0.986,0.500,0.500,0.014
5,DuckDuckGeese,0.520,0.600,0.250,0.000,0.080
6,EigenWorms,0.931,0.939,0.500,0.500,0.008
7,Epilepsy,1.000,1.000,0.500,0.500,0.000
8,EthanolConcentration,0.297,0.304,0.500,1.000,0.008
9,ERing,0.930,0.937,0.250,0.000,0.007
10,FaceDetection,0.581,0.581,0.500,0.500,0.000
11,FingerMovements,0.440,0.470,0.500,0.500,0.030
12,HandMovementDirection,0.297,0.297,0.000,1.000,0.000
13,Handwriting,0.622,0.649,0.500,0.500,0.027
14,Heartbeat,0.741,0.761,0.500,0.500,0.020
15,InsectWingbeat,0.693,0.696,0.750,0.500,0.003
16,JapaneseVowels,0.986,0.989,0.500,0.500,0.003
17,Libras,0.961,0.967,0.500,0.500,0.006
18,LSST,0.652,0.659,0.250,0.000,0.008
19,MotorImagery,0.490,0.530,0.500,0.500,0.040
20,NATOPS,0.956,0.961,0.500,0.500,0.006
21,PenDigits,0.989,0.990,0.000,0.000,0.001
22,PEMS-SF,0.786,0.815,0.000,0.000,0.029
23,PhonemeSpectra,0.298,0.307,0.500,0.500,0.009
24,RacketSports,0.928,0.934,0.500,0.500,0.007
25,SelfRegulationSCP1,0.799,0.836,0.500,0.500,0.038
26,SelfRegulationSCP2,0.450,0.506,0.500,0.500,0.056
27,SpokenArabicDigits,0.992,0.995,0.500,0.500,0.002
28,StandWalkJump,0.600,0.600,0.750,0.500,0.000
29,UWaveGestureLibrary,0.869,0.872,0.000,1.000,0.003
