dataset_name,FCN,FCN-MRM2,InceptionTime,IT-MRM2,LSTM-FCN,LF-MRM2,OS-CNN,OC-MRM2,ResNet,RN-MRM2,HIVE-COTE,ST,BOSS,EE(PROP),1-NN DTW
Adiac,0.798,0.801,0.844,0.857,0.798,0.821,0.829,0.821,0.854,0.864,0.811,0.783,0.765,0.665,0.604
ArrowHead,0.829,0.851,0.874,0.914,0.811,0.823,0.834,0.863,0.806,0.869,0.863,0.737,0.834,0.811,0.663
Beef,0.767,0.767,0.7,0.8,0.733,0.767,0.7,0.767,0.8,0.867,0.933,0.9,0.8,0.633,0.633
BeetleFly,0.85,0.85,0.7,0.85,0.75,0.8,0.9,0.9,0.9,0.85,0.95,0.9,0.9,0.75,0.7
BirdChicken,0.9,0.9,1,1,0.9,0.9,0.9,0.9,0.9,0.9,0.85,0.8,0.95,0.8,0.75
Car,0.933,0.933,0.883,0.917,0.917,0.95,0.933,0.95,0.85,0.9,0.867,0.917,0.833,0.833,0.733
CBF,0.99,0.998,0.999,1,0.992,0.998,0.998,1,0.994,0.999,0.999,0.974,0.998,0.998,0.997
ChlorineConcentration,0.768,0.771,0.83,0.831,0.759,0.767,0.802,0.801,0.825,0.827,0.712,0.7,0.661,0.656,0.648
CinCECGTorso,0.812,0.812,0.842,0.847,0.812,0.828,0.824,0.837,0.811,0.825,0.996,0.954,0.887,0.942,0.651
Coffee,1,1,1,1,1,1,1,1,1,1,1,0.964,1,1,1
Computers,0.844,0.852,0.804,0.808,0.84,0.856,0.788,0.812,0.824,0.828,0.76,0.736,0.756,0.708,0.7
CricketX,0.774,0.79,0.851,0.859,0.762,0.782,0.823,0.828,0.79,0.79,0.823,0.772,0.736,0.813,0.754
CricketY,0.774,0.774,0.81,0.813,0.787,0.787,0.813,0.818,0.779,0.79,0.849,0.779,0.754,0.805,0.744
CricketZ,0.762,0.767,0.846,0.849,0.772,0.795,0.859,0.867,0.797,0.797,0.831,0.787,0.746,0.782,0.754
DiatomSizeReduction,0.938,0.944,0.928,0.984,0.918,0.935,0.964,0.977,0.908,0.941,0.941,0.925,0.931,0.944,0.967
DistalPhalanxOutlineAgeGroup,0.734,0.741,0.77,0.755,0.748,0.748,0.741,0.748,0.734,0.755,0.763,0.775,0.748,0.728,0.77
DistalPhalanxOutlineCorrect,0.783,0.786,0.754,0.754,0.772,0.775,0.775,0.797,0.793,0.801,0.772,0.77,0.728,0.691,0.717
DistalPhalanxTW,0.676,0.719,0.655,0.705,0.691,0.698,0.691,0.712,0.669,0.683,0.683,0.662,0.676,0.647,0.59
Earthquakes,0.748,0.748,0.741,0.755,0.741,0.748,0.741,0.755,0.748,0.748,0.748,0.741,0.748,0.741,0.719
ECG200,0.85,0.86,0.94,0.95,0.88,0.89,0.89,0.92,0.87,0.89,0.85,0.83,0.87,0.88,0.77
ECG5000,0.939,0.94,0.944,0.941,0.94,0.941,0.941,0.944,0.942,0.94,0.946,0.944,0.941,0.939,0.75
ECGFiveDays,0.979,1,0.999,1,0.974,1,0.999,1,0.972,1,1,0.984,1,0.82,0.768
ElectricDevices,0.706,0.703,0.71,0.711,0.697,0.71,0.721,0.729,0.699,0.702,0.77,0.747,0.799,0.663,0.601
FaceAll,0.869,0.986,0.799,0.796,0.865,0.98,0.833,0.849,0.867,0.864,0.803,0.779,0.782,0.849,0.808
FaceFour,0.909,0.955,0.955,0.955,0.852,0.898,0.955,0.966,0.909,0.955,0.955,0.852,1,0.909,0.83
FacesUCR,0.921,0.936,0.944,0.982,0.915,0.948,0.956,0.98,0.926,0.968,0.963,0.906,0.957,0.945,0.905
FiftyWords,0.648,0.648,0.789,0.804,0.629,0.644,0.787,0.804,0.688,0.703,0.809,0.705,0.705,0.82,0.69
Fish,0.96,0.966,1,1,0.954,0.966,1,1,0.983,0.989,0.989,0.989,0.989,0.966,0.823
FordA,0.923,0.925,0.955,0.961,0.921,0.926,0.963,0.964,0.934,0.941,0.964,0.971,0.93,0.738,0.555
FordB,0.796,0.809,0.843,0.853,0.809,0.817,0.842,0.856,0.82,0.827,0.823,0.807,0.711,0.662,0.62
GunPoint,1,1,0.993,0.993,1,1,1,1,1,1,1,1,1,0.993,0.907
Ham,0.724,0.743,0.695,0.714,0.724,0.743,0.714,0.724,0.724,0.781,0.667,0.686,0.667,0.571,0.467
HandOutlines,0.824,0.873,0.949,0.957,0.851,0.876,0.957,0.959,0.935,0.935,0.932,0.932,0.903,0.889,0.881
Haptics,0.519,0.526,0.545,0.571,0.519,0.526,0.552,0.568,0.532,0.552,0.519,0.523,0.461,0.393,0.377
Herring,0.688,0.719,0.766,0.734,0.641,0.672,0.625,0.688,0.625,0.672,0.688,0.672,0.547,0.578,0.531
