,Name,InceptionTime,IT-MRM2,lambda,gamma,Improve
0,Adiac,0.798,0.821,0.500,0.500,0.023
1,ArrowHead,0.811,0.823,0.500,0.500,0.011
2,Beef,0.733,0.767,0.000,0.500,0.033
3,BeetleFly,0.750,0.800,0.500,0.500,0.050
4,BirdChicken,0.900,0.900,0.500,0.500,0.000
5,Car,0.917,0.950,0.750,0.000,0.033
6,CBF,0.992,0.998,0.500,0.500,0.006
7,ChlorineConcentration,0.759,0.767,0.000,1.000,0.008
8,CinCECGTorso,0.812,0.828,0.000,1.000,0.016
9,Coffee,1.000,1.000,0.500,0.500,0.000
10,Computers,0.840,0.856,0.500,0.500,0.016
11,CricketX,0.762,0.782,0.250,0.500,0.021
12,CricketY,0.787,0.787,0.250,0.500,0.000
13,CricketZ,0.772,0.795,0.250,0.000,0.023
14,DiatomSizeReduction,0.918,0.935,0.500,0.500,0.016
15,DistalPhalanxOutlineAgeGroup,0.748,0.748,0.500,0.000,0.000
16,DistalPhalanxOutlineCorrect,0.772,0.775,0.750,0.000,0.004
17,DistalPhalanxTW,0.691,0.698,0.750,0.000,0.007
18,Earthquakes,0.741,0.748,0.500,0.500,0.007
19,ECG200,0.880,0.890,0.500,0.500,0.010
20,ECG5000,0.940,0.941,0.000,0.500,0.001
21,ECGFiveDays,0.974,1.000,0.500,0.500,0.026
22,ElectricDevices,0.697,0.710,0.000,0.500,0.013
23,FaceAll,0.865,0.980,0.500,0.500,0.115
24,FaceFour,0.852,0.898,0.500,0.500,0.045
25,FacesUCR,0.915,0.948,0.500,0.500,0.034
26,FiftyWords,0.629,0.644,0.500,0.000,0.015
27,Fish,0.954,0.966,0.500,0.500,0.011
28,FordA,0.921,0.926,0.500,0.500,0.005
29,FordB,0.809,0.817,0.500,0.500,0.009
30,GunPoint,1.000,1.000,0.500,0.500,0.000
31,Ham,0.724,0.743,0.750,1.000,0.019
32,HandOutlines,0.851,0.876,0.500,0.500,0.024
33,Haptics,0.519,0.526,0.250,1.000,0.006
34,Herring,0.641,0.672,0.500,0.500,0.031
35,InlineSkate,0.449,0.465,0.000,0.500,0.017
36,InsectWingbeatSound,0.387,0.401,0.250,1.000,0.014
37,ItalyPowerDemand,0.952,0.966,0.500,0.500,0.014
38,LargeKitchenAppliances,0.888,0.896,0.000,1.000,0.008
39,Lightning2,0.705,0.721,0.000,1.000,0.016
40,Lightning7,0.753,0.726,0.500,0.500,-0.027
41,Mallat,0.972,0.973,0.500,0.500,0.000
42,Meat,0.900,0.883,0.500,0.500,-0.017
43,MedicalImages,0.778,0.787,0.000,0.500,0.009
44,MiddlePhalanxOutlineAgeGroup,0.565,0.584,0.500,0.500,0.019
45,MiddlePhalanxOutlineCorrect,0.832,0.835,0.500,0.500,0.003
46,MiddlePhalanxTW,0.481,0.487,0.500,0.500,0.006
47,MoteStrain,0.919,0.919,0.250,0.500,0.001
48,NonInvasiveFetalECGThorax1,0.948,0.952,0.500,0.500,0.005
49,NonInvasiveFetalECGThorax2,0.942,0.947,0.750,0.000,0.005
50,OliveOil,0.667,0.733,0.500,0.500,0.067
51,OSULeaf,0.979,0.979,0.750,1.000,0.000
52,PhalangesOutlinesCorrect,0.822,0.832,0.000,1.000,0.010
53,Phoneme,0.347,0.357,0.250,0.500,0.010
54,Plane,1.000,1.000,0.500,0.500,0.000
55,ProximalPhalanxOutlineAgeGroup,0.854,0.868,0.500,0.500,0.015
56,ProximalPhalanxOutlineCorrect,0.911,0.918,0.500,0.500,0.007
57,ProximalPhalanxTW,0.810,0.815,0.250,1.000,0.005
58,RefrigerationDevices,0.509,0.523,0.500,0.500,0.013
59,ScreenType,0.645,0.664,0.500,0.500,0.019
60,ShapeletSim,0.794,1.000,0.500,0.500,0.206
61,ShapesAll,0.867,0.877,0.250,0.000,0.009
62,SmallKitchenAppliances,0.781,0.803,0.000,0.500,0.021
63,SonyAIBORobotSurface1,0.869,0.990,0.500,0.500,0.121
64,SonyAIBORobotSurface2,0.974,0.994,0.500,0.500,0.020
65,StarLightCurves,0.966,0.968,0.500,0.500,0.002
66,Strawberry,0.968,0.968,0.500,0.000,0.000
67,SwedishLeaf,0.970,0.968,0.750,0.000,-0.002
68,Symbols,0.965,0.988,0.500,0.500,0.023
69,SyntheticControl,0.980,0.983,0.500,0.500,0.003
70,ToeSegmentation1,0.974,0.978,0.500,0.500,0.004
71,ToeSegmentation2,0.869,0.900,0.250,0.500,0.031
72,Trace,1.000,1.000,0.500,0.500,0.000
73,TwoLeadECG,0.999,1.000,0.500,0.500,0.001
74,TwoPatterns,0.869,0.873,0.250,0.500,0.004
75,UWaveGestureLibraryAll,0.827,0.835,0.000,1.000,0.008
76,UWaveGestureLibraryX,0.766,0.771,0.500,0.500,0.004
77,UWaveGestureLibraryY,0.674,0.670,0.500,0.500,-0.004
78,UWaveGestureLibraryZ,0.753,0.754,0.750,0.000,0.001
79,Wafer,0.995,0.996,0.000,1.000,0.001
80,Wine,0.759,0.778,0.500,0.500,0.019
81,WordSynonyms,0.538,0.545,0.000,1.000,0.008
82,Worms,0.779,0.805,0.000,1.000,0.026
83,WormsTwoClass,0.779,0.805,0.500,0.500,0.026
84,Yoga,0.851,0.852,0.000,1.000,0.001
