,Name,InceptionTime,IT-MRM2,lambda,gamma,Improve
0,Adiac,0.854,0.864,0.500,0.500,0.010
1,ArrowHead,0.806,0.869,0.500,0.500,0.063
2,Beef,0.800,0.867,0.250,0.000,0.067
3,BeetleFly,0.900,0.850,0.500,0.500,-0.050
4,BirdChicken,0.900,0.900,0.500,0.500,0.000
5,Car,0.850,0.900,0.500,0.500,0.050
6,CBF,0.994,0.999,0.500,0.500,0.004
7,ChlorineConcentration,0.825,0.827,0.000,1.000,0.002
8,CinCECGTorso,0.811,0.825,0.000,1.000,0.014
9,Coffee,1.000,1.000,0.500,0.500,0.000
10,Computers,0.824,0.828,0.250,1.000,0.004
11,CricketX,0.790,0.790,0.500,0.000,0.000
12,CricketY,0.779,0.790,0.500,0.500,0.010
13,CricketZ,0.797,0.797,0.000,0.500,0.000
14,DiatomSizeReduction,0.908,0.941,0.500,0.500,0.033
15,DistalPhalanxOutlineAgeGroup,0.734,0.755,0.500,0.500,0.022
16,DistalPhalanxOutlineCorrect,0.793,0.801,0.000,0.500,0.007
17,DistalPhalanxTW,0.669,0.683,0.000,1.000,0.014
18,Earthquakes,0.748,0.748,0.000,1.000,0.000
19,ECG200,0.870,0.890,0.500,0.500,0.020
20,ECG5000,0.942,0.940,0.000,1.000,-0.001
21,ECGFiveDays,0.972,1.000,0.500,0.500,0.028
22,ElectricDevices,0.699,0.702,0.500,0.500,0.002
23,FaceAll,0.867,0.864,0.000,0.500,-0.003
24,FaceFour,0.909,0.955,0.500,0.500,0.045
25,FacesUCR,0.926,0.968,0.500,0.500,0.042
26,FiftyWords,0.688,0.703,0.000,1.000,0.015
27,Fish,0.983,0.989,0.500,0.500,0.006
28,FordA,0.934,0.941,0.500,0.500,0.007
29,FordB,0.820,0.827,0.500,0.500,0.007
30,GunPoint,1.000,1.000,0.500,0.500,0.000
31,Ham,0.724,0.781,0.250,0.000,0.057
32,HandOutlines,0.935,0.935,0.250,0.500,0.000
33,Haptics,0.532,0.552,0.000,0.500,0.019
34,Herring,0.625,0.672,0.250,0.500,0.047
35,InlineSkate,0.346,0.366,0.500,0.500,0.020
36,InsectWingbeatSound,0.457,0.451,0.000,0.500,-0.006
37,ItalyPowerDemand,0.952,0.968,0.750,1.000,0.016
38,LargeKitchenAppliances,0.901,0.901,0.250,0.000,0.000
39,Lightning2,0.705,0.738,0.500,0.500,0.033
40,Lightning7,0.781,0.822,0.500,0.000,0.041
41,Mallat,0.939,0.976,0.500,0.500,0.038
42,Meat,0.950,0.967,0.500,0.500,0.017
43,MedicalImages,0.772,0.774,0.000,1.000,0.001
44,MiddlePhalanxOutlineAgeGroup,0.519,0.571,0.500,0.500,0.052
45,MiddlePhalanxOutlineCorrect,0.808,0.811,0.500,0.500,0.003
46,MiddlePhalanxTW,0.500,0.519,0.250,0.000,0.019
47,MoteStrain,0.931,0.936,0.000,0.500,0.006
48,NonInvasiveFetalECGThorax1,0.958,0.957,0.250,0.500,-0.001
49,NonInvasiveFetalECGThorax2,0.950,0.951,0.250,0.000,0.001
50,OliveOil,0.767,0.800,0.000,0.500,0.033
51,OSULeaf,0.988,0.983,0.250,0.000,-0.004
52,PhalangesOutlinesCorrect,0.823,0.832,0.500,0.500,0.009
53,Phoneme,0.362,0.361,0.000,1.000,-0.001
54,Plane,1.000,1.000,0.500,0.500,0.000
55,ProximalPhalanxOutlineAgeGroup,0.839,0.839,0.500,0.500,0.000
56,ProximalPhalanxOutlineCorrect,0.921,0.924,0.000,0.500,0.003
57,ProximalPhalanxTW,0.800,0.795,0.000,0.500,-0.005
58,RefrigerationDevices,0.539,0.541,0.000,1.000,0.003
59,ScreenType,0.621,0.637,0.000,0.500,0.016
60,ShapeletSim,0.689,0.856,0.500,0.500,0.167
61,ShapesAll,0.895,0.900,0.250,0.000,0.005
62,SmallKitchenAppliances,0.771,0.776,0.500,0.500,0.005
63,SonyAIBORobotSurface1,0.804,0.903,0.500,0.500,0.100
64,SonyAIBORobotSurface2,0.978,0.983,0.500,0.500,0.005
65,StarLightCurves,0.978,0.980,0.500,0.500,0.003
66,Strawberry,0.976,0.978,0.500,0.500,0.003
67,SwedishLeaf,0.963,0.970,0.500,0.500,0.006
68,Symbols,0.931,0.991,0.500,0.500,0.060
69,SyntheticControl,0.993,0.993,0.000,1.000,0.000
70,ToeSegmentation1,0.965,0.965,0.500,0.500,0.000
71,ToeSegmentation2,0.831,0.938,0.500,0.500,0.108
72,Trace,0.990,0.990,0.000,0.500,0.000
73,TwoLeadECG,0.999,1.000,0.500,0.500,0.001
74,TwoPatterns,0.913,0.917,0.000,1.000,0.003
75,UWaveGestureLibraryAll,0.851,0.852,0.000,0.500,0.001
76,UWaveGestureLibraryX,0.769,0.766,0.000,0.500,-0.003
77,UWaveGestureLibraryY,0.669,0.665,0.000,1.000,-0.004
78,UWaveGestureLibraryZ,0.753,0.752,0.000,0.500,-0.001
79,Wafer,0.994,0.995,0.500,0.500,0.000
80,Wine,0.852,0.870,0.500,0.000,0.019
81,WordSynonyms,0.597,0.605,0.000,1.000,0.008
82,Worms,0.792,0.792,0.500,0.500,0.000
83,WormsTwoClass,0.818,0.844,0.750,0.000,0.026
84,Yoga,0.871,0.876,0.500,0.500,0.005
